	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	0.8835	0.8927	0.1593	0.3213	0.1718	0.0001861	0.005502	0.002949	0.0007769	0.001704	0.0009094
B.cereus.ATCC14579	0.8835	NA	0.9472	0.1222	0.924	0.3633	0.0002320	0.001311	0.001278	0.009691	0.00673	0.01065
B.cereus.E33L	0.8927	0.9472	NA	0.3497	0.9103	0.3488	0.0001574	0.002659	0.002487	0.001686	0.00592	0.003865
B.cereus.ATCC10987	0.1593	0.1222	0.3497	NA	0.1423	0.3384	0.0002884	0.0009016	0.002561	0.001456	0.00212	0.004863
B.thuringiensis	0.3213	0.924	0.9103	0.1423	NA	0.1468	0.0002715	0.009285	0.001041	0.001404	0.002092	0.00467
B.weihenstephanensis	0.1718	0.3633	0.3488	0.3384	0.1468	NA	0.1220	0.1902	0.1041	0.1274	0.05667	0.0925
B.subtilis168	0.0001861	0.0002320	0.0001574	0.0002884	0.0002715	0.1220	NA	0.004079	4.894e-05	0.008666	0.1630	0.0003181
B.amyloliquefaciens	0.005502	0.001311	0.002659	0.0009016	0.009285	0.1902	0.004079	NA	2.767e-05	0.001725	0.01221	9.475e-05
B.licheniformis	0.002949	0.001278	0.002487	0.002561	0.001041	0.1041	4.894e-05	2.767e-05	NA	0.005076	0.08946	0.003618
B.pumilus	0.0007769	0.009691	0.001686	0.001456	0.001404	0.1274	0.008666	0.001725	0.005076	NA	0.05528	0.0007125
B.claussi	0.001704	0.00673	0.00592	0.00212	0.002092	0.05667	0.1630	0.01221	0.08946	0.05528	NA	0.03335
B.halodurans	0.0009094	0.01065	0.003865	0.004863	0.00467	0.0925	0.0003181	9.475e-05	0.003618	0.0007125	0.03335	NA
