	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	0.973	0.9754	0.8267	0.6495	0.9705	0.03477	0.006705	0.07048	0.03775	0.03835	0.1043
B.cereus.ATCC14579	0.973	NA	0.985	0.8653	0.9944	0.9165	0.01048	0.005914	0.03259	0.03413	0.05553	0.1145
B.cereus.E33L	0.9754	0.985	NA	0.8718	0.9762	0.9537	0.02453	0.007055	0.07793	0.03513	0.05696	0.05576
B.cereus.ATCC10987	0.8267	0.8653	0.8718	NA	0.7134	0.9697	0.03509	0.001697	0.07554	0.01868	0.02882	0.1252
B.thuringiensis	0.6495	0.9944	0.9762	0.7134	NA	0.955	0.03266	0.02845	0.03239	0.02064	0.04977	0.07128
B.weihenstephanensis	0.9705	0.9165	0.9537	0.9697	0.955	NA	0.3991	0.3451	0.471	0.5613	0.2055	0.1495
B.subtilis168	0.03477	0.01048	0.02453	0.03509	0.03266	0.3991	NA	0.003104	0.01009	0.04396	0.7868	0.04938
B.amyloliquefaciens	0.006705	0.005914	0.007055	0.001697	0.02845	0.3451	0.003104	NA	0.06858	0.03844	0.4238	0.04277
B.licheniformis	0.07048	0.03259	0.07793	0.07554	0.03239	0.471	0.01009	0.06858	NA	0.3519	0.6793	0.1699
B.pumilus	0.03775	0.03413	0.03513	0.01868	0.02064	0.5613	0.04396	0.03844	0.3519	NA	0.2920	0.04082
B.claussi	0.03835	0.05553	0.05696	0.02882	0.04977	0.2055	0.7868	0.4238	0.6793	0.2920	NA	0.4795
B.halodurans	0.1043	0.1145	0.05576	0.1252	0.07128	0.1495	0.04938	0.04277	0.1699	0.04082	0.4795	NA
