	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	1	1	1	0.7849	0.02438	1	1	1	1	1	1
B.cereus.ATCC14579	1	NA	1	1	1	0.02148	1	1	1	1	1	1
B.cereus.E33L	1	1	NA	1	1	0.1761	1	1	1	1	1	1
B.cereus.ATCC10987	1	1	1	NA	1	0.009216	1	1	1	1	1	1
B.thuringiensis	0.7849	1	1	1	NA	0.07957	1	1	1	1	1	1
B.weihenstephanensis	0.02438	0.02148	0.1761	0.009216	0.07957	NA	1	1	0.9883	1	1	0.999
B.subtilis168	1	1	1	1	1	1	NA	1	1	1	1	1
B.amyloliquefaciens	1	1	1	1	1	1	1	NA	1	1	1	1
B.licheniformis	1	1	1	1	1	0.9883	1	1	NA	1	1	1
B.pumilus	1	1	1	1	1	1	1	1	1	NA	1	1
B.claussi	1	1	1	1	1	1	1	1	1	1	NA	1
B.halodurans	1	1	1	1	1	0.999	1	1	1	1	1	NA
