"name","NCBI","B.s.","B.li.","B.a.","B.c.","B.t.","B.cl.","B.h.","G.k.","O.i.","C.p.","C.a.","C.t.","C.th.","C.n.","C.c.","C.d.","hamming","HenriUniq"
"CotI (YtaA)  ","BG13821","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",5,0
"CotJC        ","BG11801","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",0,0
"CotS         ","BG11380","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","-",6,0
"CotSA        ","BG11381","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",4,0
"CwlJ         ","BG11172","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",0,0
"SodA         ","BG11676","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,1
"SpoIVA       ","BG10275","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",0,0
"YaaH         ","BG10080","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","-",NA,1
"YabG         ","BG10106","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",0,0
"YckK         ","BG11340","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,1
"YcsK (LipC)  ","BG11232","+","+","+","+","-","+","-","+","+","-","+","+","-","-","-","+",NA,1
"YhaX         ","BG13000","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",0,0
"YirY         ","BG13088","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",1,0
"YbaQ         ","BG10124","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+",NA,1
"YdhD         ","BG12181","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","-",2,0
"YhbA         ","BG12236","+","+","+","+","-","+","+","+","+","+","+","+","-","+","-","+",1,0
"YusA         ","BG14013","+","+","+","+","+","+","+","+","+","-","+","+","-","+","-","+",0,0
"YutH         ","BG14044","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","-",0,0
"YsxE         ","BG10347","+","+","+","+","+","+","+","+","+","+","+","+","-","-","+","-",0,0
"CotF         ","BG10012","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+","-",2,0
"YisY         ","BG13104","+","+","+","+","+","+","+","+","+","-","+","+","+","-","+","+",1,0
"CotM         ","BG11822","+","+","+","+","+","+","+","+","-","-","-","+","+","+","+","-",1,0
"YkuD         ","BG13288","+","+","+","+","+","+","+","+","-","-","+","+","+","-","+","-",0,0
"YkvP         ","BG13318","+","-","+","+","+","-","+","-","-","-","+","-","-","-","-","-",5,0
"Tgl          ","BG10946","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-","-",0,0
"CotA         ","BG10490","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",1,0
"CotD         ","BG10493","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"CotE         ","BG10494","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"CotN (YqfT)  ","BG11666","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"CotO (YjbX)  ","BG13153","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",2,0
"GerQ         ","BG10608","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"SafA         ","BG13781","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"SpoVM        ","BG10776","+","+","-","-","-","+","+","+","+","-","-","-","-","-","-","-",2,0
"SpoVID       ","BG10346","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
"TasA         ","BG11697","+","+","+","+","+","-","+","-","+","-","-","-","-","-","-","-",NA,1
"YlbD         ","BG13367","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",NA,1
"YppG         ","BG11448","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",0,0
