BA_3681xxx	BA_3681	BA_3681_Ban
BAM_017770	RBAM_017770	RBAM_017770_Bam
NT02BT3609	NT02BT3609	NT02BT3609_Bth
Bmo3184xxx	Bmo3184	Bmo3184_Bmo
NT03BL2146	NT03BL2146	NT03BL2146_Bli
BC_3621xxx	BC_3621	BC_3621_Bce
NT03BC2453	NT03BC2453	NT03BC2453_Bcl
BG11822xxx	BG11822	BG11822_Bsu
