BG13088 Bsu1065 
BG10346 Bsu2807 
BG10490 Bsu0630 
BG10275 Bsu2279 
BG13036 Bsu0977 
BG12424 Bsu3449 
BG13506 Bsu1901 
BG12181 Bsu0571 
BG12236 Bsu0891 
BG11196 Bsu1975 
BG13318 Bsu1380 
BG13484 Bsu1866 
BG13781 Bsu2780 
BG10491 Bsu3603 
BG11381 Bsu3086 
BG12231 Bsu0879 
BG13035 Bsu0978 
BG11791 Bsu3604 
BG13821 Bsu3087 
BG11380 Bsu3085 
BG10347 Bsu2806 
BG14044 Bsu3224 
BG12251 Bsu1427 
BG12423 Bsu3450 
BG11194 Bsu1978 
BG11811 Bsu0892 
BG13097 Bsu1074 
BG10106 Bsu0043 
BG14013 Bsu3269 
BG11187 Bsu0362 
BG13104 Bsu1090 
BG10022 Bsu4060 
BG11197 Bsu1974 
BG10946 Bsu3122 
BG13153 Bsu1174 
BG11017 Bsu3605 
BG11801 Bsu0691 
BG10494 Bsu1704 
BG10608 Bsu3788 
BG10500 Bsu1177 
BG13288 Bsu1406 
BG10498 Bsu1176 
BG10012 Bsu4050 
BG13822 Bsu3088 
BG10499 Bsu1175 
BG13084 Bsu1061 
BG11382 Bsu3084 
BG12167 Bsu0555 
BG11172 Bsu0261 
BG12512 Bsu3619 
BG13180 Bsu1206 
BG11193 Bsu1977 
BG13356 Bsu1499 
BG11822 Bsu1798 
BG10496 Bsu1179 
BG11448 Bsu2225 
BG13415 Bsu1732 
BG14052 Bsu3168 
BG11881 Bsu3954 
BG11609 Bsu2198 
BG10492 Bsu1771 
BG12335 Bsu2828 
BG10495 Bsu1210 
BG10497 Bsu1178 
BG11195 Bsu1976 
BG11800 Bsu0690 
BG13471 Bsu1768 
BG11666 Bsu2509 
BG13537 Bsu1960 
BG11799 Bsu0689 
BG10493 Bsu2220 
BG10776 Bsu1582 
BG13000 Bsu0983
