BG10496xxx	BG10496
NT03BL1349	NT03BL1349
NT03BL1346	NT03BL1346
BAM_011790	RBAM_011790
Bmo2056xxx	Bmo2056
BPUM_1108x	BPUM_1108
BH2192xxxx	BH2192
BPUM_1106x	BPUM_1106
