BH2306xxxx	BH2306
NT02BT4949	NT02BT4949
BH3423xxxx	BH3423
BAM_029380	RBAM_029380
NT03BC3335	NT03BC3335
KBAB4_4773	BcerKBAB4_4773
BG13821xxx	BG13821
NT02BT4451	NT02BT4451
