Locus	Gene Symbol	Common Name	5' End	3' End	EC Number	Organism	HMM Hit	HMM Score	
GBAA0637	 	conserved hypothetical protein	654556	655527	 	Bacillus anthracis Ames Ancestor	TIGR02906	-189.2	
GBAA1133	 	trifolitoxin immunity domain protein	1108529	1107741	 	Bacillus anthracis Ames Ancestor	TIGR02906	-193.3	
GBAA1498	resE	sensor histidine kinase ResE	1418395	1420170	 	Bacillus anthracis Ames Ancestor	TIGR02906	-184.4	
GBAA2581	 	conserved hypothetical protein	2405016	2404069	 	Bacillus anthracis Ames Ancestor	TIGR02906	-127.7	
GBAA2867	 	hypothetical protein	2658559	2657561	 	Bacillus anthracis Ames Ancestor	TIGR02906	-113.5	
GBAA3193	 	hypothetical protein	2941294	2940338	 	Bacillus anthracis Ames Ancestor	TIGR02906	-151.0	
GBAA4691	ysxE	spore coat protein YsxE	4267701	4266676	 	Bacillus anthracis Ames Ancestor	TIGR02906	-52.2	
GBAA4952	 	aminoglycoside phosphotransferase family protein	4496811	4496020	 	Bacillus anthracis Ames Ancestor	TIGR02906	-179.3	
GBAA5188	cotS	spore coat protein cotS	4712812	4711811	 	Bacillus anthracis Ames Ancestor	TIGR02906	-41.7	
NT02BC2499	 	conserved hypothetical protein	2457693	2456836	 	Bacillus cereus Zk	TIGR02906	-149.8	
BALH_0578	 	conserved hypothetical protein	675212	676183	 	Bacillus thuringiensis Al Hakam	TIGR02906	-185.4	
NT04BT0682	 	phosphotransferase enzyme family, putative	675212	676183	 	Bacillus thuringiensis Al Hakam	TIGR02906	-185.4	
NT04BT1525	 	sensor protein ResE	1478041	1479816	2.7.13.3	Bacillus thuringiensis Al Hakam	TIGR02906	-185.4	
BALH_1334	resE	sensor histidine kinase	1478041	1479816	2.7.3.-	Bacillus thuringiensis Al Hakam	TIGR02906	-185.4	
BALH_2322	 	conserved hypothetical protein	2492772	2491825	 	Bacillus thuringiensis Al Hakam	TIGR02906	-126.6	
NT04BT2565	 	phosphotransferase enzyme family, putative	2492772	2491825	 	Bacillus thuringiensis Al Hakam	TIGR02906	-126.6	
NT04BT3129	 	group-specific protein	3022255	3021332	 	Bacillus thuringiensis Al Hakam	TIGR02906	-159.1	
BALH_2852	 	conserved hypothetical protein	3022315	3021332	 	Bacillus thuringiensis Al Hakam	TIGR02906	-159.1	
NT04BT4411	ysxE	spore coat protein YsxE	4273901	4272876	 	Bacillus thuringiensis Al Hakam	TIGR02906	-49.9	
BALH_4052	 	conserved hypothetical protein	4273901	4272876	 	Bacillus thuringiensis Al Hakam	TIGR02906	-49.9	
NT04BT4649	 	aminoglycoside phosphotransferase family protein	4498544	4497747	 	Bacillus thuringiensis Al Hakam	TIGR02906	-179.3	
BALH_4276	 	aminoglycoside phosphotransferase family protein	4498544	4497747	 	Bacillus thuringiensis Al Hakam	TIGR02906	-179.3	
BALH_4485	cotS	spore coat protein	4728154	4727141	 	Bacillus thuringiensis Al Hakam	TIGR02906	-41.7	
NT04BT4906	yutH	spore coat protein YutH	4728154	4727141	 	Bacillus thuringiensis Al Hakam	TIGR02906	-41.7	
NT02BT1512	 	sensor protein ResE	1442902	1444677	2.7.3.-	Bacillus thuringiensis konkukian	TIGR02906	-185.4	
BT9727_1360	resE	sensor histidine kinase	1442902	1444677	2.7.3.-	Bacillus thuringiensis konkukian	TIGR02906	-185.4	
NT02BT2545	 	conserved hypothetical protein	2449728	2448781	 	Bacillus thuringiensis konkukian	TIGR02906	-129.1	
BT9727_2359	 	conserved hypothetical protein	2449728	2448781	 	Bacillus thuringiensis konkukian	TIGR02906	-129.1	
BT9727_2960	 	hypothetical protein	3040440	3039463	 	Bacillus thuringiensis konkukian	TIGR02906	-169.2	
NT02BT3176	 	group-specific protein	3040458	3039463	 	Bacillus thuringiensis konkukian	TIGR02906	-169.2	
NT02BT4451	 	conserved hypothetical protein	4257162	4256137	 	Bacillus thuringiensis konkukian	TIGR02906	-54.2	
BT9727_4192	 	conserved hypothetical protein, possible spore coat protein	4257162	4256137	 	Bacillus thuringiensis konkukian	TIGR02906	-54.2	
NT02BT4697	 	aminoglycoside phosphotransferase family protein	4491828	4491031	 	Bacillus thuringiensis konkukian	TIGR02906	-179.3	
BT9727_4433	 	aminoglycoside phosphotransferase family protein	4491828	4491031	 	Bacillus thuringiensis konkukian	TIGR02906	-179.3	
NT02BT4949	 	spore coat protein	4718775	4717774	 	Bacillus thuringiensis konkukian	TIGR02906	-45.8	
BT9727_4661	cotS	spore coat protein	4718775	4717774	 	Bacillus thuringiensis konkukian	TIGR02906	-45.8	
NT01BT4419	 	MdsC protein	5584043	5582952	 	Bacteroides thetaiotaomicron VPI-5482	TIGR02906	-161.8	
BT_4240	 	conserved hypothetical protein, with a phosphotransferase enzyme family domain	5584043	5582952	 	Bacteroides thetaiotaomicron VPI-5482	TIGR02906	-161.8	
BCI_0302	topA	DNA topoisomerase I	324856	322283	5.99.1.2	Baumannia cicadellinicola	TIGR02906	-212.4	
BB_H09	 	type I restriction enzyme r protein n terminus (hsdr_n)	7728	3892	 	Borrelia burgdorferi B31	TIGR02906	-186.3	
BR_0476	thrB	homoserine kinase	473971	474951	2.7.1.39	Brucella suis 1330	TIGR02906	-158.3	
BR_A1164	 	conserved hypothetical protein	1164264	1163245	 	Brucella suis 1330	TIGR02906	-191.3	
Bcen_4497	 	homoserine kinase	1751666	1752664	2.7.1.39	Burkholderia cenocepacia AU 1054	TIGR02906	-186.5	
Bcen2424_3676	 	aminoglycoside phosphotransferase	525636	526826	 	Burkholderia cenocepacia HI2424	TIGR02906	-196.6	
NT05BCA0522	 	aminoglycoside phosphotransferase taxon:331272	525636	526826	 	Burkholderia cenocepacia HI2424	TIGR02906	-196.6	
Bcen2424_3867	 	homoserine kinase	729455	728457	2.7.1.39	Burkholderia cenocepacia HI2424	TIGR02906	-186.5	
NT05BCA0725	thrB	homoserine kinase	729455	728457	2.7.1.39	Burkholderia cenocepacia HI2424	TIGR02906	-186.5	
CJJ81176_pVir0053	 	VirB4	34862	37330	 	Campylobacter jejuni subsp. jejuni 81-176	TIGR02906	-204.5	
CJJ81176_pTet0010	 	cpp14	4605	10403	 	Campylobacter jejuni subsp. jejuni 81-176	TIGR02906	-202.5	
BPEN_433	asnS	asparaginyl-tRNA synthetase	508697	510109	 	Candidatus Blochmannia pennsylvanicus str. BPEN	TIGR02906	-184.0	
NT07CP0435	asnS	asparaginyl-tRNA synthetase	508697	510109	6.1.1.22	Candidatus Blochmannia pennsylvanicus str. BPEN	TIGR02906	-184.0	
NT06CP0130	thrB	homoserine kinase	134707	135675	2.7.1.39	Candidatus Pelagibacter ubique HTCC1062	TIGR02906	-133.5	
SAR11_0125	thrB	Homoserine kinase	134707	135675	2.7.1.39	Candidatus Pelagibacter ubique HTCC1062	TIGR02906	-133.5	
CV_0776	thrB	ketohexokinase	801201	800260	2.7.1.3	Chromobacterium violaceum ATCC12472	TIGR02906	-122.2	
NT01CV0775	thrB	homoserine kinase	801201	800260	2.7.1.39	Chromobacterium violaceum ATCC12472	TIGR02906	-122.2	
Csal_0546	 	homoserine kinase	606045	605080	2.7.1.39	Chromohalobacter salexigens DSM 3043	TIGR02906	-145.3	
NT01CS0590	thrB	homoserine kinase	606045	605080	2.7.1.39	Chromohalobacter salexigens DSM 3043	TIGR02906	-145.3	
NT01CS2437	 	aminoglycoside phosphotransferase	2583534	2582551	 	Chromohalobacter salexigens DSM 3043	TIGR02906	-183.7	
Csal_2295	 	aminoglycoside phosphotransferase	2583534	2582551	 	Chromohalobacter salexigens DSM 3043	TIGR02906	-183.7	
CAC1298	 	Uncharacterized protein, related to B.subtilis spore coat	1441515	1440448	 	Clostridium acetobutylicum ATCC824	TIGR02906	291.4	
NT01CA1443	 	Uncharacterized protein, related to B.subtilis spore coat protein COTS	1441515	1440448	 	Clostridium acetobutylicum ATCC824	TIGR02906	291.4	
CAC1841	 	Uncharacterized protein, related to Spore coat protein	1994888	1993818	 	Clostridium acetobutylicum ATCC824	TIGR02906	315.8	
NT01CA2039	cotS	Uncharacterized protein, related to Spore coat protein CotS	1994888	1993818	 	Clostridium acetobutylicum ATCC824	TIGR02906	315.8	
CAC2572	 	Possible aminoglycoside phosphotransferase (protein kinase related), diverged	2674864	2674010	 	Clostridium acetobutylicum ATCC824	TIGR02906	-178.6	
NT01CA2822	 	Possible aminoglycoside phosphotransferase (protein kinase related), diverged	2674876	2674010	 	Clostridium acetobutylicum ATCC824	TIGR02906	-178.6	
CAC2906	 	Spore coat protein cotS related	3041342	3040341	 	Clostridium acetobutylicum ATCC824	TIGR02906	528.1	
NT01CA3187	cotS	Spore coat protein cotS related	3041342	3040341	 	Clostridium acetobutylicum ATCC824	TIGR02906	528.1	
CAC2908	 	Spore coat protein cotS related	3044332	3043298	 	Clostridium acetobutylicum ATCC824	TIGR02906	539.1	
NT01CA3190	diverged	Spore coat protein cotS related	3044332	3043298	 	Clostridium acetobutylicum ATCC824	TIGR02906	539.1	
NT01CA3191	diverged	Spore coat protein cotS related	3045099	3044344	 	Clostridium acetobutylicum ATCC824	TIGR02906	-107.3	
CAC2909	 	Spore coat protein cotS related (diverged)	3045099	3044344	 	Clostridium acetobutylicum ATCC824	TIGR02906	-107.3	
CAC2910	 	Spore coat protein cotS related	3046121	3045114	 	Clostridium acetobutylicum ATCC824	TIGR02906	560.2	
NT01CA3192	diverged	Spore coat protein cotS related	3046121	3045114	 	Clostridium acetobutylicum ATCC824	TIGR02906	560.2	
NT08CB0458	 	spore coat protein S taxon:212717	468367	469383	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	401.7	
NT08CB0459	 	hypothetical protein	469385	470191	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-167.3	
NT08CB0460	cotS	probable spore coat protein	470247	471302	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	502.9	
NT08CB0462	 	spore coat protein CotS taxon:195103	472856	473854	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	596.8	
