BPUM_0996	BG13088
BPUM_2452	BG10346
BPUM_0542	BG10490
BPUM_2011	BG10275
BPUM_0925	BG13036
BPUM_0845	BG12236
BPUM_1894	BG11196
BPUM_2904	BG13484
BPUM_2424	BG13781
BPUM_0926	BG13035
BPUM_1005	BG11791
BPUM_2451	BG10347
BPUM_2890	BG14044
BPUM_1322	BG12251
BPUM_1897	BG11194
BPUM_0844	BG11811
BPUM_0027	BG10106
BPUM_2930	BG14013
BPUM_0340	BG11187
BPUM_2792	BG10946
BPUM_1102	BG13153
BPUM_1607	BG10494
BPUM_3438	BG10608
BPUM_1106	BG10500
BPUM_1301	BG13288
BPUM_1105	BG10498
BPUM_2723	BG13822
BPUM_1103	BG10499
BPUM_0256	BG11172
BPUM_3545	BG12512
BPUM_1896	BG11193
BPUM_1389	BG13356
BPUM_1108	BG10496
BPUM_1958	BG11448
BPUM_1622	BG13415
BPUM_2842	BG14052
BPUM_1933	BG11609
BPUM_1107	BG10497
BPUM_1895	BG11195
BPUM_2245	BG11666
BPUM_1882	BG13537
BPUM_1480	BG10776
BPUM_0929	BG13000
