NT02BT0050	YabG	BG10106
NT02BT0408	CotB	BG10491
NT02BT0565	YhbA	BG12236
NT02BT0566	YhbB	BG11811
NT02BT0648	YmaG	BG13415
NT02BT0849	CotJC	BG11801
NT02BT0850	CotJB	BG11800
NT02BT0851	CotJA	BG11799
NT02BT0896	YckK	BG11187
NT02BT0901	YheD	BG13036
NT02BT0902	YheC	BG13035
NT02BT0910	YhaX	BG13000
NT02BT1267	YjbX (CotO)	BG13153
NT02BT1272	CotZ	BG10499
NT02BT1543	SpoIVA	BG10275
NT02BT1590	YppG	BG11448
NT02BT1591	CotD	BG10493
NT02BT1636	YpeP	BG11609
NT02BT1676	YknT	BG12251
NT02BT1906	CotA	BG10490
NT02BT1930	YobN	BG13506
NT02BT2030	CotH	BG11791
NT02BT2207	CotP	BG12167
NT02BT2309	YirY	BG13088
NT02BT3073	YhjR	BG13084
NT02BT3082	CotF	BG10012
NT02BT3151	YtaB	BG13822
NT02BT3171	CgeB	BG11194
NT02BT3522	YxeE	BG11881
NT02BT3570	YodI	BG13537
NT02BT3609	CotM	BG11822
NT02BT3754	CotE	BG10494
NT02BT3919	YlbD	BG13356
NT02BT3948	Tgl	BG10946
NT02BT4279	YqfT (CotN)	BG11666
NT02BT4420	SafA	BG13781
NT02BT4451	YsxE	BG10347
NT02BT4452	SpoVID	BG10346
NT02BT4777	YisY	BG13104
NT02BT4949	YutH	BG14044
NT02BT4982	YusA	BG14013
NT02BT5377	CwlJ	BG11172
NT02BT5378	YwdL (GerQ)	BG10608
