BAM_025160	RBAM_025160	RBAM_025160_Bam
Bmo2699xxx	Bmo2699	Bmo2699_Bmo
BPUM_2890x	BPUM_2890	BPUM_2890_Bpu
BH3040xxxx	BH3040	BH3040_Bha
BC_4466xxx	BC_4466	BC_4466_Bce
BPUM_2451x	BPUM_2451	BPUM_2451_Bpu
NT03BC2987	NT03BC2987	NT03BC2987_Bcl
BG10347xxx	BG10347	BG10347_Bsu
NT02BT4451	NT02BT4451	NT02BT4451_Bth
NT03BL3124	NT03BL3124	NT03BL3124_Bli
BA_4691xxx	BA_4691	BA_4691_Ban
KBAB4_4304	BcerKBAB4_4304	BcerKBAB4_4304_Bwe
