BGcoat	source	Bsu	Bmo	Bam	Bli	Bpu	Ban	Bce79	Bce87	Bce3L	Bth	Bwe	Bcl	Bha	Profile11
BG10012	ids.tab	BG10012 BG11595 BG13779 BG13780 	Bmo3201 	RBAM_005880 RBAM_009440 RBAM_037610 	NT03BL2052 NT03BL4618 	BPUM_0868 	BA_3121 	NA	NA	BCE33L2830 	NT02BT3082 	NA	NA	BH3888 	
BG10022	ids.tab	BG10022 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
BG10106	ids.tab	BG10106 	Bmo2616 	RBAM_000520 	NT03BL0059 	BPUM_0027 	BA_0040 	BC_0047 	BCE_0040 	BCE33L0038 	NT02BT0050 	BcerKBAB4_0037 	NT03BC0085 	BH0058 	Y
BG10275	ids.tab	BG10275 	Bmo2839 	RBAM_020960 	NT03BL2566 	BPUM_2011 	BA_1530 	BC_1509 	BCE_1636 	BCE33L1391 	NT02BT1543 	BcerKBAB4_1433 	NT03BC2159 	BH1645 	Y
BG10346	ids.tab	BG10346 	NA	RBAM_025170 	NT03BL3125 	BPUM_2452 	BA_4692 	BC_4467 	BCE_4551 	BCE33L4204 	NT02BT4452 	BcerKBAB4_4305 	NT03BC2990 	BH3042 	
BG10347	ids.tab.curated	BG10347 	Bmo2699 	RBAM_025160 	NT03BL3124 	BPUM_2451 	BA_4691 	BC_4466 	BCE_4550 	BCE33L4203 	NT02BT4451 	BcerKBAB4_4304 	NT03BC2987 	BH3040 	Y
BG10490	ids.tab.curated	BG10490 	Bmo15 	RBAM_006700 	NT03BL0713 	BPUM_0542 	BA_1902 	BC_1830 	BCE_A0212 	NA	NT02BT1906 	BcerKBAB4_1765 	NA	BH2082 	
BG10491	ids.tab.curated	BG10491 	NA	RBAM_033210 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
BG10493	ids.tab	BG10493 	Bmo2896 	RBAM_020350 	NT03BL2496 	NA	BA_1581 	BC_1560 	BCE_1687 	BCE33L1438 	NT02BT1591 	BcerKBAB4_1481 	NT03BC2311 NT03BC3633 	BH1767 	
BG10494	ids.tab	BG10494 	Bmo3297 	RBAM_016870 	NT03BL2026 	BPUM_1607 	BA_3906 	BC_3770 	BCE_3804 	BCE33L3529 	NT02BT3754 	BcerKBAB4_3541 	NT03BC2506 	BH2370 	Y
BG10495	ids.tab	BG10495 	NA	NA	NA	BPUM_2424 	NA	NA	NA	NA	NA	NA	NA	NA	
BG10496	ids.tab	BG10496 	Bmo2056 	RBAM_011790 	NT03BL1346 NT03BL1349 	BPUM_1106 BPUM_1108 	NA	NA	NA	NA	NA	NA	NA	BH2192 	
BG10497	ids.tab	BG10497 	Bmo2055 	RBAM_011780 	NT03BL1348 	BPUM_1107 	NA	BC_2873 	BCE_2908 	BCE33L2604 	NA	NA	NT03BC2860 	BH2191 	
BG10499-BG10498	ids.tab	BG10498 BG10499 	NA	RBAM_011750 RBAM_011760 	NT03BL1343 NT03BL1345 	BPUM_1103 BPUM_1105 	BA_1234 	BC_1218 BC_1222 	BCE_1345 	BCE33L1115 BCE33L1119 	NT02BT1272 	BcerKBAB4_1128 BcerKBAB4_1132 	NA	NA	
BG10500	ids.tab.curated	BG10500 	Bmo2054 	RBAM_011770 	NT03BL1346 	BPUM_1106 	NA	BC_2874 	BCE_2907 	BCE33L2603 	NA	NA	NT03BC2859 	BH2192 	
BG10608	ids.tab.curated	BG10608 	NA	RBAM_035170 	NT03BL4247 	BPUM_3438 	BA_5641 	BC_5391 	BCE_5520 	BCE33L5089 	NT02BT5378 	BcerKBAB4_5184 	NT03BC4431 	BH3827 	
BG10776	ids.tab	BG10776 	NA	RBAM_015640 	NA	BPUM_1480 	NA	NA	NA	NA	NA	NA	NA	BH2501 	
