RBAM_010820	BG13088
RBAM_025170	BG10346
RBAM_006700	BG10490
RBAM_020960	BG10275
RBAM_010000	BG13036
RBAM_005580	BG12424
RBAM_013100	BG12181
RBAM_009190	BG12236
RBAM_019600	BG11196
RBAM_024890	BG13781
RBAM_033210	BG10491
RBAM_009070	BG12231
RBAM_010010	BG13035
RBAM_033220	BG11791
RBAM_025160	BG10347
RBAM_029380	BG14044
RBAM_014010	BG12251
RBAM_005540	BG12423
RBAM_019630	BG11194
RBAM_009200	BG11811
RBAM_000520	BG10106
RBAM_029810	BG14013
RBAM_003780	BG11187
RBAM_019590	BG11197
RBAM_028330	BG10946
RBAM_011740	BG13153
RBAM_033230	BG11017
RBAM_007260	BG11801
RBAM_016870	BG10494
RBAM_035170	BG10608
RBAM_011770	BG10500
RBAM_013830	BG13288
RBAM_011760	BG10498
RBAM_037610	BG10012
RBAM_027830	BG13822
RBAM_011750	BG10499
RBAM_010770	BG13084
RBAM_007940	BG12167
RBAM_002920	BG11172
RBAM_033430	BG12512
RBAM_019620	BG11193
RBAM_014830	BG13356
RBAM_017770	BG11822
RBAM_011790	BG10496
RBAM_020400	BG11448
RBAM_028810	BG14052
RBAM_036530	BG11881
RBAM_020110	BG11609
RBAM_011780	BG10497
RBAM_019610	BG11195
RBAM_007250	BG11800
RBAM_023430	BG11666
RBAM_019400	BG13537
RBAM_007240	BG11799
RBAM_020350	BG10493
RBAM_015640	BG10776
RBAM_010060	BG13000
