BcerKBAB4_2167	BG13088
BcerKBAB4_4305	BG10346
BcerKBAB4_1765	BG10490
BcerKBAB4_1433	BG10275
BcerKBAB4_0764	BG13036
BcerKBAB4_1799	BG13506
BcerKBAB4_0460	BG12236
BcerKBAB4_4273	BG13781
BcerKBAB4_0335	BG10491
BcerKBAB4_4589	BG11381
BcerKBAB4_0351	BG12231
BcerKBAB4_0765	BG13035
BcerKBAB4_1896	BG11791
BcerKBAB4_4304	BG10347
BcerKBAB4_4773	BG14044
BcerKBAB4_0461	BG11811
BcerKBAB4_0037	BG10106
BcerKBAB4_4806	BG14013
BcerKBAB4_0759	BG11187
BcerKBAB4_4606	BG13104
BcerKBAB4_0497	BG11197
BcerKBAB4_3789	BG10946
BcerKBAB4_1127	BG13153
BcerKBAB4_1895	BG11017
BcerKBAB4_0716	BG11801
BcerKBAB4_3541	BG10494
BcerKBAB4_5184	BG10608
BcerKBAB4_1132	BG10498
BcerKBAB4_1128	BG10499
BcerKBAB4_2891	BG13084
BcerKBAB4_5183	BG11172
BcerKBAB4_3763	BG13356
BcerKBAB4_1480	BG11448
BcerKBAB4_3821	BG13415
BcerKBAB4_3237	BG11881
BcerKBAB4_1514	BG11609
BcerKBAB4_0717	BG11800
BcerKBAB4_4136	BG11666
BcerKBAB4_3268	BG13537
BcerKBAB4_0718	BG11799
BcerKBAB4_1481	BG10493
BcerKBAB4_0775	BG13000
