BC_3136xxx	BC_3136	BC_3136_Bce
BPUM_2723x	BPUM_2723	BPUM_2723_Bpu
BG13822xxx	BG13822	BG13822_Bsu
BA_3179xxx	BA_3179	BA_3179_Ban
BAM_027830	RBAM_027830	RBAM_027830_Bam
NT02BT3151	NT02BT3151	NT02BT3151_Bth
NT03BL3511	NT03BL3511	NT03BL3511_Bli
