bg,NA.2,NA.3,deltalnL,p,q,sig,sigS1,sig2,summary,delCS2,pCS2,qCS2
BG10001,18):,0,0.200578999999834,0.5265,0.34592280554792,,,NA,,NA,NA,NA
BG10002,18):,0,2.05263699999978,0.0427,0.0601426875870774,,S,2,S2,0.000380999999833875,0.978,0.517537696198933
BG10004,18):,0,0.36546399999952,0.3926,0.286329935159110,,S,2,S2,1.37296599999991,0.0975,0.136784724862268
BG10009,18):,0,0.0670570000002044,0.7142,0.423928208273651,,,NA,,NA,NA,NA
BG10010,18):,0,0.62456100000054,0.2637,0.219454776798288,,,NA,2,NA,NA,NA
BG10048,18):,0,0.84058099999993,0.1948,0.179917772364766,,,NA,2,NA,NA,NA
BG10049,18):,0,0.00102599999991071,0.9639,0.500515106488815,,,NA,2,NA,NA,NA
BG10050,18):,0,2.89999998130952e-05,0.9939,0.508823469544482,,,NA,,NA,NA,NA
BG10053,18):,0,2.53456000000006,0.0244,0.0403997261680488,C,,2,C2,1.18125099999997,0.1243,0.159970901895090
BG10054,18):,0,0.013929000000644,0.8674,0.476379352131629,,,NA,,NA,NA,NA
BG10057,18):,0,0.0738940000001094,0.7007,0.418773939807339,,,NA,,NA,NA,NA
BG10059,18):,0,1.32954700000118,0.103,0.112679508359864,,S,2,S2,0.857237999998688,0.1904,0.206369388591935
BG10060,18):,0,4.77738800000043,0.002,0.00593050043999284,C,S,2,CS2,0.24355899999955,0.4852,0.359483518090601
BG10061,18):,0,6.00302599999941,5e-04,0.00194275014413558,C,,cs2,C2,2.80132899999990,0.0179,0.048657249684318
BG10062,18):,0,1.46298099999967,0.0872,0.0999218962269166,,,NA,2,NA,NA,NA
BG10063,18):,0,0.521572000000106,0.3071,0.239473197351655,,,NA,,NA,NA,NA
BG10065,18):,0,1.09185700000035,0.1395,0.142251506028968,,,NA,2,NA,NA,NA
BG10066,18):,0,0.301910999999564,0.4371,0.304967263802455,,,NA,,NA,NA,NA
BG10067,18):,0,0.841580000000022,0.1945,0.17988643810665,,,NA,,NA,NA,NA
BG10068,18):,0,0.32574299999942,0.4196,0.299875190535722,,,NA,2,NA,NA,NA
BG10070,18):,0,0.0124429999996210,0.8747,0.478332704551235,,,NA,,NA,NA,NA
BG10071,18):,0,0.476420000000871,0.329,0.250765895718570,,,NA,,NA,NA,NA
BG10073,18):,0,0.548291999999492,0.295,0.233813282294208,,,NA,,NA,NA,NA
BG10074,18):,0,3.82714899999974,0.0057,0.0134273142366110,C,,2,C2,0.741828000000169,0.2232,0.226989862066015
BG10075,18):,0,1.74357899999995,0.0618,0.0778055152697161,,S,2,S2,0.0863389999999526,0.6777,0.418499441089761
BG10076,18):,0,1.13961100000006,0.1311,0.135836614059548,,,NA,2,NA,NA,NA
BG10077,18):,0,1.49934099999973,0.0833,0.0972663528121934,,,NA,,NA,NA,NA
BG10080,18):,0,5.21880899999996,0.0012,0.00393831291354864,C,S,2,CS2,1.97230499999932,0.047,0.0859763566503058
BG10082,18):,0,0.31890999999996,0.4245,0.301148696529458,,,NA,,NA,NA,NA
BG10083,18):,0,0.628149000000121,0.2624,0.219453440509025,,,NA,2,NA,NA,NA
BG10084,18):,0,0.0395059999998466,0.7786,0.44685364283017,,,NA,,NA,NA,NA
BG10085,18):,0,0.693450000000212,0.2389,0.207070265747473,,,NA,,NA,NA,NA
BG10086,18):,0,0.985994000000119,0.1602,0.156740294407382,,,NA,,NA,NA,NA
BG10087,18):,0,0.994306999999935,0.1585,0.155625283244189,,,NA,,NA,NA,NA
BG10091,18):,0,5.59237600000051,8e-04,0.00284664021119656,C,,2,C2,-1.06225200000154,1,0.517537696198933
BG10092,18):,0,3.45884599999999,0.0085,0.0183599198925018,C,S,2,CS2,0.101665000000139,0.652,0.410976012424695
BG10094,18):,0,1.99336700000003,0.0459,0.0637206090396438,,S,2,S2,0.2670549999998,0.4649,0.355839580339844
BG10095,18):,0,1.02484800000002,0.1522,0.151099746012082,,S,cs2,S2,4.20726999999988,0.0037,0.0173575465399365
BG10096,18):,0,0.186263000000054,0.5416,0.352758507096545,,,NA,,NA,NA,NA
BG10097,18):,0,0.0501040000001467,0.7516,0.43767399732958,,,NA,,NA,NA,NA
BG10098,18):,0,1.43246399999998,0.0905,0.102999657977272,,,NA,2,NA,NA,NA
BG10099,18):,0,0.329694999999447,0.4168,0.298403955154916,,,NA,2,NA,NA,NA
BG10100,18):,0,0.00331200000005083,0.9351,0.490838237270072,,,NA,,NA,NA,NA
BG10101,18):,0,0.69897100000162,0.2371,0.206303563182423,,,NA,,NA,NA,NA
BG10102,18):,0,2.64900299999999,0.0213,0.0360913312490993,C,,2,C2,1.61105300000008,0.0727,0.108996106539579
BG10104,18):,0,0.0993309999998928,0.6558,0.400516106137663,,,NA,,NA,NA,NA
BG10105,18):,0,4.96018900000036,0.0016,0.00487262738853466,C,S,2,CS2,1.36047499999950,0.099,0.136784724862268
BG10106,18):,0,0.933196999999382,0.1719,0.165039518201979,,S,2,S2,1.64517900000010,0.0697,0.106748788413573
BG10107,18):,0,0.00354300000003605,0.9329,0.490445007848757,,,NA,,NA,NA,NA
BG10108,18):,0,0.00127299999996922,0.9598,0.499152886725219,,,NA,,NA,NA,NA
BG10109,18):,0,0.135428000000502,0.6028,0.379875911967355,,,NA,,NA,NA,NA
BG10110,18):,0,1.00791599999957,0.1557,0.153896486417814,,S,2,S2,1.91165099999944,0.0505,0.0884760132419226
BG10111,18):,0,2.44254699999988,0.0271,0.0431098542572091,C,,cs2,C2,2.82296400000018,0.0175,0.048657249684318
BG10113,18):,0,1.43132999999943,0.0907,0.102999657977272,,S,2,S2,1.9754669999993,0.0468,0.0859763566503058
BG10114,18):,0,0.528320999999778,0.304,0.238113711068796,,,NA,,NA,NA,NA
BG10116,18):,0,2.51432999999997,0.0249,0.0408599964780672,C,S,cs2,CS2,3.43775199999982,0.0087,0.0300885708893587
BG10118,18):,0,1.97233800000322,0.047,0.0648482068520033,,,NA,2,NA,NA,NA
BG10119,18):,0,0.35092799999984,0.4022,0.291445004902490,,,NA,,NA,NA,NA
BG10120,18):,0,16.8755240000010,0,0,C,S,2,CS2,0.126657999999225,0.6147,0.399083252414416
