RBAM_004910	Bam
BA_0246	Ban
BC_0258	Bce
NT03BC2684	Bcl
BH2570	Bha
NT03BL0564	Bli
Bmo1425	Bmo
BPUM_0428	Bpu
BG12084	Bsu
NT02BT0267	Bth
BcerKBAB4_0224	Bwe
