"name","NCBI","B.s.","B.li.","B.a.","B.c.","B.t.","B.cl.","B.h.","G.k.","O.i.","C.p.","C.a.","C.t.","C.th.","C.n.","C.c.","C.d.","hamming","HenriUniq"
"YaaH         ","BG10080",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,1
"YbaQ         ","BG10124",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1
"YcsK (LipC)  ","BG11232",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,NA,1
"YckK         ","BG11340",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"SodA         ","BG11676",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"TasA         ","BG11697",1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,1
"YeeK         ","BG12825",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"YlbD         ","BG13367",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,1
"YopQ         ","BG13650",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1
"YpzA         ","BG13764",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,1
