BH3042	BG10346
BH2082	BG10490
BH1645	BG10275
BH1146	BG13036
BH1020	BG12236
BH3373	BG11196
BH1221	BG13781
BH2305	BG11381
BH2306	BG13821
BH3040	BG10347
BH3423	BG14044
BH2839	BG11194
BH1022	BG11811
BH0058	BG10106
BH3479	BG14013
BH0170	BG11187
BH3970	BG10946
BH2370	BG10494
BH3827	BG10608
BH2192	BG10500
BH0811	BG13288
BH1034	BG13084
BH3826	BG11172
BH2601	BG13356
BH1451	BG13415
BH2282	BG11609
BH2191	BG10497
BH1387	BG11666
BH1767	BG10493
BH2501	BG10776
BH1151	BG13000
