"Name","Bsu","RPBH.Ban.Ames","BGID","Old.Ban.merged.profiles","PAML","ConsistencywithSpceTree","Note","CheckAlignment","Bsu"
"CotF","BG10012","BA_3121","BG10012","BA_3121 ","NO","weird","multiple duplication","very poor","BG10012 BG11595 BG13779 BG13780 "
"YybI","BG10022",,"BG10022","NA","NO",,,"skip","BG10022 "
"YabG","BG10106","BA_0040","BG10106","BA_0040 ","YES","nice",,"good","BG10106 "
"SpoIVA","BG10275","BA_1530","BG10275","BA_1530 ","YES",,,"good","BG10275 "
"SpoVID","BG10346","BA_4692","BG10346","BA_4692 ","YES",,,"good","BG10346 "
"YsxE","BG10347","BA_4691","BG10347","BA_4691 ","YES","OneOutlier","Remove BPUM_2890","fair","BG10347 "
"CotA","BG10490","BA_1902","BG10490","BA_1902 ","YES","Bcl has problem and is removed; repeats","Remove NT03BC3017","fair","BG10490 "
"CotB","BG10491",,"BG10491","BA_0357 ","NO",,"no outgroup","poor, repeat hit?","BG10491 "
"CotC","BG10492",,,,,,,,
"CotD","BG10493","BA_1581","BG10493","BA_1581 ","YES",,,"good","BG10493 "
"CotE","BG10494","BA_3906","BG10494","BA_3906 ","YES",,,"good(short Bmo)","BG10494 "
"CotT(YabG)","BG10495",,"BG10495","NA","NO",,,"poor, repeat hit?","BG10495 "
"CotV","BG10496",,"BG10496","NA","YES",,"no cereus","fair, repeats","BG10496 "
"CotW","BG10497",,"BG10497","NA","YES",,,"poor,repeats","BG10497 "
"CotY","BG10498",,"BG10499-BG10498","BA_1234 ","YES",,"classic duplication","good","BG10498 BG10499 "
"CotZ","BG10499","BA_1234",,,,,,,
"CotX","BG10500",,"BG10500","NA","YES",,"Remove BPUM_1108, RBAM01190","poor, repeats","BG10500 "
"YwdL (GerQ)","BG10608","BA_5641","BG10608","BA_5641 ","YES",,"Rm RBAM02400, NT03BL2502","good","BG10608 "
"SpoVM","BG10776",,"BG10776","NA","NO",,,"good, short seq","BG10776 "
"Tgl","BG10946","BA_4173","BG10946","BA_4173 ","YES","nice",,"good","BG10946 "
"CotG","BG11017",,"BG11017","NA","NO",,,"good,repeats","BG11017 "
"CwlJ","BG11172","BA_5640","BG11172","BA_5640 ","YES","good","Rm BPUM1272","good,repeats?ER?","BG11172 "
"YckK","BG11187","BA_0855","BG11187","BA_0855 ","YES","good","RM Bwe0348 NT03BL2738","good","BG11187 "
"CgeA","BG11193",,"BG11193","NA","NO",,,"good","BG11193 "
"CgeB","BG11194","BA_5516","BG11194","NA","NO",,"Remove BA5516","poor,repeats","BG11194 "
"CgeC","BG11195",,"BG11195","NA","NO",,,"good, repeats","BG11195 "
"CgeD","BG11196",,"BG11196","NA","?","repeats?poor alignment","Remove NT02BT3430 BG13263","poor, repeat hit?","BG11196 "
"CgeE","BG11197",,"BG11197","BA_2935 ","?","?? poor alignment due to repeats?",,"poor ","BG10027 BG11197 "
"CotS","BG11380",,"BG11380","NA","NO",,,"fair","BG11380 "
"CotSA","BG11381","BA_5012","BG11381","BA_5012 ","NO",,,"fair","BG11381 "
"YtxO","BG11382",,"BG11382","BA_0799 BA_2967 ","NO",,,"poor,repeats","BG11382 "
"YppG","BG11448","BA_1580","BG11448","BA_1580 ","YES","fair",,"poor,repeats","BG11448 "
"YpeP","BG11609","BA_1626","BG11609","BA_1626 ","YES",,"BG11609 wrong ATG?","good","BG11609 "
"YqfT (CotN)","BG11666","BA_4507","BG11666","BA_4507 ","YES","nice",,"good","BG11666 "
"CotH","BG11791","BA_2046","BG11791-BG13097","BA_2046 ","?","duplication.","need more sequence","nice","BG11791 BG13097 "
"CotJA","BG11799","BA_0805","BG11799","BA_0805 ","?","too many repeats!","check alignment","horrible","BG11799 "
"CotJB","BG11800","BA_0804","BG11800","BA_0804 ","YES",,,"nice","BG11800 "
"CotJC","BG11801","BA_0803","BG11801","BA_0803 ","YES","weid outgroups"," BPUM1305 is horizontally transferred?","Good,real horizontal transfer?","BG11801 "
"YhbB","BG11811","BA_0546","BG11811","BA_0546 ","YES",,,"good, need manual changes","BG11811 "
"CotM","BG11822","BA_3681","BG11822","BA_3681 ","YES",,,"good, Bmo wrong ATG","BG11822 "
"YxeE","BG11881","BA_3589","BG11881","BA_3589 ","??","Long branch attraction?","check alignment, remove RBAM036540","Poor, repeats, but good cereus group","BG11881 "
"CotP","BG12167","BA_2250","BG12167","BA_2250 ","YES","BG duplication?(NO) poor alignment","need more sequences","Fair , EE(Q) repeats,","BG12167 BG13526 "
"YdhD","BG12181",,"BG12181","BA_0385 ","YES",,,"good,  ","BG12181 "
"YgaK","BG12231",,"BG12231","BA_1309 ","?","poor align, repeats?",,"poor align","BG12231 "
