BCE_2391	BG13088
BCE_4551	BG10346
BCE_A0212	BG10490
BCE_1636	BG10275
BCE_0950	BG13036
BCE_2008	BG13506
BCE_0600	BG12236
BCE_4512	BG13781
BCE_4907	BG11381
BCE_0479	BG12231
BCE_0951	BG13035
BCE_2115	BG11791
BCE_4550	BG10347
BCE_5088	BG14044
BCE_3202	BG11194
BCE_0601	BG11811
BCE_0040	BG10106
BCE_5122	BG14013
BCE_0945	BG11187
BCE_4929	BG13104
BCE_1340	BG13153
BCE_0895	BG11801
BCE_3804	BG10494
BCE_5520	BG10608
BCE_2907	BG10500
BCE_3183	BG13822
BCE_1345	BG10499
BCE_3134	BG13084
BCE_2279	BG12167
BCE_5519	BG11172
BCE_3983	BG13356
BCE_3640	BG11822
BCE_1686	BG11448
BCE_4042	BG13415
BCE_3549	BG11881
BCE_1717	BG11609
BCE_2908	BG10497
BCE_0896	BG11800
BCE_4363	BG11666
BCE_3599	BG13537
BCE_0897	BG11799
BCE_1687	BG10493
BCE_0960	BG13000
